ICAO,CTRY
16MO,US
16MS,US
16MT,US
16NC,US
16NE,US
16NH,US
16NJ,US
16NK,US
16NY,US
16OH,US
16OI,US
16OK,US
16OR,US
16PA,US
16PN,US
16S,US
16SC,US
16TA,US
16TE,US
16TN,US
16TS,US
16TT,US
16TX,US
16VA,US
16W,US
16WA,US
16WI,US
16X,US
16XA,US
16XS,US
16Z,US
17AK,US
17AL,US
17AR,US
17AZ,US
17CA,US
17CL,US
17CO,US
17FA,US
17FD,US
17FL,US
17GA,US
17ID,US
17II,US
17IN,US
17KS,US
17KY,US
17LA,US
17LL,US
17LS,US
17MA,US
17ME,US
17MI,US
17MN,US
17MO,US
17MS,US
17MT,US
17MU,US
17NC,US
17NE,US
17NH,US
17NJ,US
17NK,US
17NR,US
17NY,US
17OH,US
17OI,US
17OK,US
17OR,US
17PA,US
17PN,US
17PS,US
17S,US
17SC,US
17SD,US
17TA,US
17TE,US
17TN,US
17TS,US
17TT,US
17TX,US
17U,US
17VA,US
17WA,US
17WI,US
17XA,US
17XS,US
18AA,US
18AK,US
18AL,US
18AR,US
18AZ,US
18CA,US
18CL,US
18CO,US
18FA,US
18FD,US
18FL,US
18GA,US
18HI,US
18ID,US
18II,US
18IL,US
18IN,US
18IS,US
18JY,US
18K,US
18KS,US
18KY,US
18LA,US
18LS,US
18MA,US
18MD,US
18ME,US
18MI,US
18MN,US
18MO,US
18MT,US
18NC,US
18NE,US
18NJ,US
18NY,US
18OH,US
18OI,US
18OK,US
18OR,US
18PA,US
18PN,US
18SC,US
18TA,US
18TE,US
18TN,US
18TS,US
18TX,US
18VA,US
18VT,US
18WA,US
18WI,US
18WV,US
18XA,US
18XS,US
18Y,US
19AK,US
19AL,US
19AR,US
19AZ,US
19CL,US
19CO,US
19FD,US
19FL,US
19GA,US
19IA,US
19ID,US
19II,US
19IL,US
19IN,US
19IS,US
19KS,US
19KY,US
19LA,US
19LL,US
19LS,US
19MA,US
19MI,US
19MN,US
19MO,US
19MT,US
19NC,US
19ND,US
19NE,US
19NH,US
19NJ,US
19NK,US
19NY,US
19OH,US
19OI,US
19OK,US
19OR,US
19P,US
19PA,US
19PN,US
19SC,US
19T,US
19TA,US
19TE,US
19TN,US
19TS,US
19TX,US
19VA,US
19WA,US
19WI,US
19XS,US
1A1,US
1A2,US
1A8,US
1AK0,US
1AK1,US
1AK2,US
1AK4,US
1AK5,US
1AK6,US
1AK7,US
1AK8,US
1AK9,US
1AL0,US
1AL1,US
1AL2,US
1AL3,US
1AL4,US
1AL5,US
1AL6,US
1AL7,US
1AL8,US
1AL9,US
1AR0,US
1AR1,US
1AR2,US
1AR3,US
1AR4,US
1AR5,US
1AR6,US
1AR7,US
1AR8,US
1AR9,US
1AZ0,US
1AZ1,US
1AZ2,US
1AZ3,US
1AZ4,US
1AZ5,US
1AZ6,US
1AZ7,US
1AZ8,US
1B3,US
1B5,US
1B8,US
1C3,US
1C4,US
1C8,US
1C9,US
1CA0,US
1CA1,US
1CA2,US
1CA3,US
1CA4,US
1CA5,US
1CA6,US
1CA7,US
1CA8,US
1CA9,US
1CD0,US
1CD1,US
1CD2,US
1CD4,US
1CD5,US
1CL0,US
1CL1,US
1CL2,US
1CL3,US
1CL4,US
1CL5,US
1CL6,US
1CL8,US
1CL9,US
1CN6,US
1CO0,US
1CO1,US
1CO2,US
1CO3,US
1CO4,US
1CO5,US
1CO6,US
1CO7,US
1CO8,US
1CO9,US
1CT0,US
1CT2,US
1CT3,US
1D2,US
1D4,US
1D5,US
1D6,US
1DE5,US
1DS,US
1E2,US
1E4,US
1E6,US
1E7,US
1E8,US
1E9,US
1F1,US
1F2,US
1F6,US
1F7,US
1FA1,US
1FA3,US
1FA5,US
1FA6,US
1FA7,US
1FA9,US
1FD0,US
1FD2,US
1FD3,US
1FD4,US
1FD5,US
1FD6,US
1FD7,US
1FD8,US
1FL0,US
1FL1,US
1FL2,US
1FL3,US
1FL4,US
1FL5,US
1FL6,US
1FL7,US
1FL8,US
1FL9,US
1G6,US
1G8,US
1GA0,US
1GA1,US
1GA2,US
1GA3,US
1GA4,US
1GA5,US
1GA6,US
1GA7,US
1GA8,US
1GA9,US
1GE1,US
1GE2,US
1GE3,US
1GE4,US
1GE5,US
1GE6,US
1GE7,US
1GE8,US
1GE9,US
1H1,US
1H4,US
1H6,US
1H9,US
1I1,US
1I3,US
1I6,US
1I8,US
1I9,US
1IA0,US
1IA2,US
1IA3,US
1IA4,US
1IA5,US
1IA6,US
1IA7,US
1IA9,US
1ID2,US
1ID3,US
1ID4,US
1ID5,US
1ID6,US
1ID7,US
1ID8,US
1ID9,US
1II0,US
1II2,US
1II3,US
1II4,US
1II5,US
1II6,US
1II7,US
1II8,US
1IL0,US
1IL1,US
1IL2,US
1IL3,US
1IL4,US
1IL6,US
1IL7,US
1IL8,US
1IL9,US
1IN0,US
1IN1,US
1IN2,US
1IN3,US
1IN4,US
1IN5,US
1IN6,US
1IN7,US
1IS0,US
1IS2,US
1IS3,US
1IS4,US
1IS5,US
1IS7,US
1IS8,US
1J9,US
1JY1,US
1JY2,US
1JY3,US
1JY4,US
1JY5,US
1K1,US
1K3,US
1K5,US
1K6,US
1K8,US
1KC,US
1KS0,US
1KS1,US
1KS2,US
1KS3,US
1KS4,US
1KS5,US
1KS6,US
1KS7,US
1KS8,US
1KS9,US
1KT9,US
1KY0,US
1KY1,US
1KY2,US
1KY3,US
1KY4,US
1KY5,US
1KY6,US
1KY7,US
1KY8,US
1L4,US
1LA0,US
1LA1,US
1LA2,US
1LA3,US
1LA4,US
1LA5,US
1LA6,US
1LA7,US
1LA8,US
1LA9,US
1LL0,US
1LL1,US
1LL2,US
1LL4,US
1LL6,US
1LL7,US
1LL8,US
1LL9,US
1LS0,US
1LS1,US
1LS2,US
1LS5,US
1LS8,US
1M3,US
1M7,US
1M8,US
1MA0,US
1MA1,US
1MA2,US
1MA4,US
1MA5,US
1MA6,US
1MA7,US
1MA8,US
1MA9,US
1MD0,US
1MD1,US
1MD3,US
1MD4,US
1MD5,US
1MD6,US
1MD7,US
1MD8,US
1MD9,US
1ME,US
1ME1,US
1ME2,US
1MI0,US
1MI1,US
1MI2,US
1MI3,US
1MI4,US
1MI5,US
1MI6,US
1MI7,US
1MI8,US
1MI9,US
1MN0,US
1MN1,US
1MN2,US
1MN3,US
1MN4,US
1MN5,US
1MN6,US
1MN7,US
1MN8,US
1MN9,US
1MO1,US
1MO2,US
1MO3,US
1MO4,US
1MO6,US
1MO7,US
1MO8,US
1MO9,US
1MS0,US
1MS1,US
1MS2,US
1MS3,US
1MS4,US
1MS5,US
1MS6,US
1MS7,US
1MS8,US
1MS9,US
1MT0,US
1MT1,US
1MT2,US
1MT3,US
1MT4,US
1MT5,US
1MT6,US
1MT7,US
1MT8,US
1MT9,US
1MU0,US
1MU1,US
1MU2,US
1MU3,US
1MU4,US
1MU5,US
1MU6,US
1MU7,US
1MU8,US
1MU9,US
1MY1,US
1N2,US
1N3,US
1N5,US
1NA0,US
1NA5,US
1NA8,US
1NA9,US
1NC0,US
1NC1,US
1NC2,US
1NC3,US
1NC4,US
1NC5,US
1NC6,US
1NC8,US
1NC9,US
1ND3,US
1ND4,US
1ND7,US
1NE0,US
1NE1,US
1NE2,US
1NE5,US
1NE6,US
1NJ0,US
1NJ1,US
1NJ2,US
1NJ3,US
1NJ4,US
1NJ5,US
1NJ6,US
1NJ7,US
1NJ8,US
1NJ9,US
1NK0,US
1NK1,US
1NK2,US
1NK3,US
1NK4,US
1NK5,US
1NK6,US
